precinct,election_id,registered_voters,ballots_total
2024.0,28,834.0,157.0
2024.0,29,970.0,730.0
2025.0,1,1543.0,612.0
2025.0,3,1554.0,212.0
2025.0,5,1542.0,518.0
2025.0,6,1514.0,279.0
2025.0,7,1514.0,728.0
2025.0,9,1490.0,1117.0
2025.0,12,1389.0,498.0
2025.0,17,1257.0,321.0
2025.0,19,1307.0,928.0
2025.0,20,2.0,1.0
2025.0,26,1138.0,375.0
2025.0,28,949.0,164.0
2025.0,29,1103.0,606.0
2030.0,1,1019.0,634.0
2030.0,3,1048.0,220.0
2030.0,5,1054.0,482.0
2030.0,6,1286.0,374.0
2030.0,7,1275.0,692.0
2030.0,9,1220.0,991.0
2030.0,12,1114.0,467.0
2030.0,16,1108.0,651.0
2030.0,17,1085.0,381.0
2030.0,19,1106.0,893.0
2030.0,20,1.0,0.0
2030.0,22,1051.0,157.0
2030.0,26,1004.0,409.0
2030.0,27,1051.0,157.0
2030.0,28,959.0,213.0
2030.0,29,1184.0,735.0
2031.0,1,700.0,390.0
2031.0,3,695.0,136.0
2031.0,5,704.0,280.0
2031.0,6,683.0,172.0
2031.0,7,694.0,351.0
2031.0,9,678.0,550.0
2031.0,12,599.0,248.0
2031.0,17,668.0,223.0
2031.0,19,560.0,385.0
2031.0,20,1.0,0.0
2031.0,26,527.0,188.0
2031.0,28,538.0,105.0
2031.0,29,660.0,359.0
2033.0,1,1472.0,744.0
2033.0,3,1460.0,253.0
2033.0,5,1462.0,570.0
2033.0,6,1453.0,348.0
2033.0,7,1429.0,718.0
2033.0,9,1448.0,1144.0
2033.0,12,1311.0,522.0
2033.0,16,1240.0,736.0
2033.0,17,1170.0,385.0
2033.0,19,1218.0,881.0
2033.0,20,1.0,0.0
2033.0,26,1389.0,511.0
2033.0,28,1018.0,217.0
2033.0,29,1181.0,741.0
2034.0,1,1.0,0.0
2034.0,3,2.0,0.0
2034.0,5,3.0,0.0
2034.0,6,4.0,0.0
2034.0,7,5.0,0.0
2034.0,9,6.0,10.0
2034.0,12,6.0,2.0
2034.0,16,5.0,3.0
2034.0,17,7.0,1.0
2034.0,19,5.0,3.0
2034.0,20,0.0,0.0
2034.0,26,3.0,2.0
2034.0,28,3.0,0.0
2034.0,29,3.0,2.0
2035.0,28,865.0,198.0
2035.0,29,1097.0,609.0
2036.0,6,805.0,297.0
2036.0,7,800.0,568.0
2036.0,9,775.0,720.0
2036.0,12,713.0,387.0
2036.0,16,698.0,554.0
2036.0,17,667.0,309.0
2036.0,19,695.0,614.0
2036.0,20,0.0,0.0
2036.0,21,670.0,141.0
2036.0,26,663.0,323.0
2036.0,28,670.0,175.0
2036.0,29,794.0,562.0
2037.0,6,626.0,269.0
2037.0,7,641.0,467.0
2037.0,9,628.0,571.0
2037.0,12,601.0,304.0
2037.0,17,563.0,267.0
2037.0,19,605.0,500.0
2037.0,20,0.0,0.0
2037.0,21,605.0,130.0
2037.0,26,599.0,319.0
2037.0,28,594.0,193.0
2037.0,29,680.0,539.0
2038.0,1,1040.0,1008.0
2038.0,3,1050.0,355.0
2038.0,5,1044.0,635.0
2038.0,6,1030.0,415.0
2038.0,7,1017.0,733.0
2038.0,9,1009.0,900.0
2038.0,12,934.0,516.0
2038.0,16,926.0,731.0
